Question,Réponse
Quelle est la meilleure banque (Tarification / crédit ...)?,Il n’y a pas de meilleure banque; toutes les banques offrent quasiment les mêmes produits et services bancaires régis par la réglementation en vigueur...
"Si mon salaire est ****, quelle est la valeur du crédit que je peux obtenir ?","La capacité d’emprunt dépend de plusieurs facteurs, notamment de votre niveau de salaire, de la nature du crédit que vous souhaitez contracter (personnel, immobilier, etc.), ainsi que de vos charges et engagements financiers actuels..."
Y a-t-il quelqu'un qui peut m’expliquer les déductions sur mon relevé de compte ?,Nous vous recommandons de contacter le chargé de la clientèle auprès de votre agence bancaire...
Quelle est la différence entre date valeur et date d’opération ?,La date d’opération correspond à la date à laquelle le paiement est effectué. La date de valeur ou comptable de l'opération est celle qui correspond à la date d’enregistrement de l’opération sur le compte bancaire...
Pourquoi les banques prélèvent-elles l’échéance du prêt avant la date convenue et avant le versement du salaire ?,"Lorsque l’échéance coïncide avec un jour férié ou un weekend, la banque procède au blocage de la provision ou de la mensualité afin d’éviter tout risque d’impayé..."
Pourquoi le distributeur de la banque X nous fournit-il des billets de banque usés et déchirés ?,"Il est d’usage que les agences conservent les billets en bon état pour les DABs afin d’éviter tout bourrage. Cependant, il est possible que certains billets légèrement usés ou abîmés glissent dans les DABs par inadvertance..."
Comment se renseigner sur les modalités pratiques du report de remboursement des crédits ?,"Toute demande d’information est acheminée selon les canaux habituels, à savoir : courrier, mail, téléphone, agences, application mobile, centre de relation client, etc..."
Les taux d’intérêts sont-ils fixes ou variables pour les crédits immobiliers ?,Les crédits pour le financement de l’habitat ayant une durée initiale de plus de 15 ans doivent être assortis de taux d’intérêt fixe...
Est-ce que la banque islamique prête à taux zéro ?,"Les banques islamiques ne pratiquent pas de prêt à taux d'intérêt et ce, conformément aux principes de la charia qui interdisent le Riba..."
Où se situent les Banques islamiques par rapport aux autres Banques conventionnelles en termes de tarification ?,Les banques islamiques proposent des conditions tarifaires spécifiques comme un coût de financement fixe durant la période de financement...
Qu'apporte la fonctionnalité Espace Notifications ?,"Dès votre connexion, vous êtes informé via la cloche en haut de page que vous
                                            avez des chèques/LCN, des prélèvements ou des crédits impayés, des virements
                                            et recharges de carte exécutés/non exécutés, des messages reçus, et des
                                            discussions clôturées.
                                            En cliquant sur une notification, vous accédez à la liste desdits impayés,
                                            au
                                            suivi des virements/recharges de carte, ou à la messagerie.
                                            Après une première visualisation de la notification, elle disparaît de
                                            l'Espace Notifications."""
Quelles sont les comptes consultables dans ma liste des comptes ?,"Vous pouvez consulter tous les comptes déclarés en consultation dans votre
                                            contrat."
Commet puis-je accéder aux détails d'un compte ?,Vous pouvez accéder aux détails d'un compte en cliquant surdans la liste des comptes.
Quelles sont les informations présentes dans l'extrait des opérations ?,"En cliquant sur le solde d'un compte de la liste des comptes, l'extrait des
                                            opérations affiche les 200 dernières opérations du compte (comptabilisées et
                                            non comptabilisées) sur les 2 dernières années. Les opérations non
                                            comptabilisées sont marquées par un astérisque."
Quelles sont les informations présentes dans l'extrait des opérations comptabilisées ?,"En cliquant sur le solde d'un compte à partir du détail, l'extrait des
                                            opérations comptabilisées affiche toutes les opérations comptabilisées du
                                            compte des 30 derniers jours."
